Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH_mean,Pack_SOH_median,Pack_SOH_std,Pack_SOH_min,Pack_SOH_max,Pack_SOH_skew,Predicted_SOH,Predicted_Health_Status
NMC,5,D3-500,2.1,1.6421,5,25,19.54880952380952,3.683,3.7003,3.7186,3.7,3.6848,3.6662,3.6458,3.665,3.6821,3.7177,3.7506,3.7168,3.6867,3.6548,3.6055,3.643,3.6805,3.7546,3.8085,3.7425,3.6907,0.7819523809523808,3.695128571428573,3.6867,0.045041482467356,3.6055,3.8085,0.5271334469437431,0.7858415105575012,Healthy
NMC,6,D3-600,2.1,1.5016,5,25,17.876190476190477,3.7072,3.7258,3.741,3.7224,3.7096,3.691,3.6721,3.6901,3.7056,3.7391,3.772,3.736,3.7121,3.6749,3.6334,3.6731,3.7041,3.7772,3.829,3.7562,3.7171,0.715047619047619,3.7185238095238096,3.7121,0.0428884122434243,3.6334,3.829,0.5867635200123387,0.7273596314785744,Healthy
NMC,7,D4-100,2.1,1.9134,5,25,22.77857142857143,3.6458,3.6635,3.674,3.656,3.647,3.6297,3.6179,3.6365,3.6455,3.683,3.7019,3.6641,3.648,3.6089,3.5894,3.6303,3.6445,3.7109,3.7555,3.6817,3.6501,0.9111428571428573,3.656390476190476,3.648,0.0368900922303252,3.5894,3.7555,0.8320206104084203,0.9348734474187541,Healthy
NMC,8,D4-200,2.1,1.8448,5,25,21.96190476190476,3.6526,3.6718,3.6842,3.6666,3.6542,3.6393,3.6216,3.6414,3.6523,3.6861,3.7143,3.6808,3.6551,3.6182,3.5894,3.6287,3.6514,3.7158,3.7713,3.7016,3.6576,0.8784761904761904,3.664490476190476,3.6551,0.0399067275626793,3.5894,3.7713,0.7540271590155794,0.8878941473633112,Healthy
NMC,9,D4-300,2.1,1.7955,5,25,21.375,3.6607,3.6777,3.6948,3.6765,3.6625,3.6455,3.6272,3.6461,3.66,3.6979,3.7261,3.6886,3.6638,3.6269,3.5928,3.6328,3.6594,3.7317,3.7844,3.7143,3.6662,0.855,3.673138095238096,3.6638,0.042573859070919,3.5928,3.7844,0.7130582001933672,0.8402654198950028,Healthy
NMC,10,D4-400,2.1,1.7384,5,25,20.695238095238096,3.6712,3.6883,3.7056,3.6879,3.6734,3.6554,3.6359,3.6535,3.67,3.7025,3.7366,3.7047,3.6746,3.6374,3.5984,3.6356,3.669,3.7313,3.7934,3.7255,3.6777,0.8278095238095238,3.682280952380953,3.6746,0.042797285183147,3.5984,3.7934,0.5860452405830473,0.8333235370157017,Healthy
NMC,11,D4-500,2.1,1.6765,5,25,19.95833333333333,3.6817,3.6985,3.7165,3.6994,3.6839,3.6656,3.6442,3.661,3.6799,3.7149,3.7475,3.7124,3.6852,3.6492,3.6036,3.6383,3.6786,3.7465,3.8036,3.7382,3.6898,0.7983333333333333,3.692309523809525,3.6852,0.0443266049315972,3.6036,3.8036,0.4652074571586849,0.7997624833710577,Healthy
NMC,12,D4-600,2.1,1.6112,5,25,19.18095238095238,3.6941,3.7127,3.7286,3.7106,3.6969,3.6786,3.6585,3.6771,3.6926,3.7239,3.7589,3.7264,3.6988,3.6619,3.6185,3.656,3.691,3.7648,3.8144,3.7487,3.7041,0.7672380952380952,3.70557619047619,3.6988,0.0434551597024093,3.6185,3.8144,0.49564367322664,0.7494621564215609,Healthy
NMC,13,E3-200,2.1,1.8787,5,25,22.36547619047619,3.6501,3.6687,3.6805,3.6625,3.6514,3.6328,3.6194,3.6387,3.6492,3.6858,3.71,3.6752,3.6523,3.6176,3.5881,3.6247,3.6486,3.7165,3.7651,3.6957,3.6548,0.8946190476190476,3.661319047619048,3.6523,0.0393289539531325,3.5881,3.7651,0.7501441914678757,0.9150101460235445,Healthy
NMC,14,E3-300,2.1,1.8272,5,25,21.75238095238095,3.6573,3.6749,3.6904,3.6731,3.6591,3.6442,3.6247,3.6439,3.6566,3.6941,3.7208,3.6858,3.6604,3.6253,3.5909,3.6253,3.6557,3.7211,3.7785,3.7093,3.6628,0.870095238095238,3.6692476190476193,3.6604,0.0413745165415575,3.5909,3.7785,0.6983250599237666,0.8528804452211982,Healthy
